category,PM2.5 1,PM2.5 2
2023-06-26T05:19:00.000Z,6,6
2023-06-26T05:21:00.000Z,5,5
2023-06-26T05:23:00.000Z,7,6
2023-06-26T05:27:00.000Z,6,6
2023-06-26T05:29:00.000Z,5,5
2023-06-26T05:30:00.000Z,5,7
2023-06-26T05:32:00.000Z,6,5
2023-06-26T05:34:00.000Z,7,6
2023-06-26T05:36:00.000Z,6,8
2023-06-26T05:40:00.000Z,6,7
2023-06-26T05:46:00.000Z,6,5
2023-06-26T05:48:00.000Z,6,8
2023-06-26T05:50:00.000Z,7,8
2023-06-26T05:52:00.000Z,7,6
2023-06-26T05:54:00.000Z,7,7
2023-06-26T05:56:00.000Z,8,6
2023-06-26T05:57:00.000Z,7,7
